team,offense,midfield,defense
Cheltenham Town,58,60,61
Rayo Vallecano,78,75,73
CD Leganés,75,76,73
Nancy,67,67,68
Shandong Luneng,76,64,69
Shakhtar Donetsk,74,78,75
Ceará SC,64,69,69
St. Mirren,65,63,60
Lillestrøm SK,65,64,63
Luton Town,67,64,63
Derby County,71,72,72
Palermo,70,72,71
Swindon Town,58,61,61
Brisbane Roar,67,68,64
Orlando Pirates,67,70,66
AD Alcorcón,68,69,69
Everton,77,80,79
Dynamo Kyiv,74,75,74
Pohang Steelers,68,65,66
HJK Helsinki,64,58,63
Southend United,64,65,65
Genoa,74,75,75
Monterrey,76,74,73
Chongqing SWM,70,65,59
FC Nordsjælland,65,64,66
Girona FC,80,78,75
Atalanta,79,75,75
Dortmund,82,82,79
Excel Mouscron,63,65,66
Jeonnam Dragons,66,66,65
Hallescher FC,64,64,63
Hearts,67,67,68
