team,offense,midfield,defense
Argentina,87,82,81
Australia,68,74,72
Austria,80,78,75
Belgium,86,83,85
Bolivia,75,67,66
Brazil,84,80,80
Bulgaria,70,69,66
Cameroon,77,71,73
Canada,73,72,65
Chile,78,79,74
Colombia,83,79,79
Côte d'Ivoire,76,75,76
Czech Republic,76,74,75
Denmark,77,79,77
Ecuador,69,71,72
Egypt,65,75,70
England,84,82,81
Finland,69,69,66
France,82,85,83
Germany,84,85,84
Greece,78,75,78
Hungary,73,70,71
Iceland,73,74,71
India,62,60,60
Ireland,74,74,76
Italy,84,82,83
Mexico,78,80,74
Netherlands,80,80,80
New Zealand,71,65,65
Northern Ireland,72,71,71
Norway,75,75,73
Paraguay,75,74,72
Peru,77,73,70
Poland,82,76,74
Portugal,88,82,80
Romania,72,72,70
Russia,79,78,76
Scotland,75,75,75
Slovenia,72,77,73
South Africa,73,70,70
Spain,86,85,86
Sweden,77,75,76
Switzerland,73,78,77
Turkey,80,76,75
United States,74,73,74
Uruguay,85,77,80
Venezuela,76,72,69
Wales,82,74,73
