team,offense,midfield,defense
Cheltenham Town,58,60,61
Rayo Vallecano,78,75,73
CD Leganés,75,76,73
Nancy,67,67,67
Shandong Luneng,76,64,69
Shakhtar Donetsk,75,76,75
Ceará SC,64,69,69
St. Mirren,65,63,60
Lillestrøm SK,65,64,63
Luton Town,67,64,63
Derby County,71,72,72
Palermo,70,72,71
Swindon Town,58,61,61
Brisbane Roar,55,66,63
Orlando Pirates,68,69,66
AD Alcorcón,68,69,69
Everton,77,80,79
Dynamo Kyiv,74,75,74
Pohang Steelers,68,65,66
HJK Helsinki,64,58,63
Southend United,64,65,63
Genoa,74,75,75
Monterrey,77,74,74
Chongqing SWM,67,63,61
FC Nordsjælland,66,66,67
Girona FC,79,76,76
Atalanta,82,77,75
Dortmund,82,82,79
Excel Mouscron,67,68,66
Jeonnam Dragons,65,66,66
Hallescher FC,62,66,64
Hearts,67,67,68
