Czech Republic,Portugal,1,2,Renaldo
Denmark,Côte d'Ivoire,4,3,Poulsen
Greece,France,2,1,Mitroglou
Netherlands,Switzerland,1,1,Strootman
Italy,Slovenia,1,1,Zappacosta
Brazil,Chile,3,0,Beretta(10.0 hat trick)
United States,Spain,0,0,Bradley
Turkey,Colombia,2,0,Yazici
Scotland,Belgium,4,0,Griffiths(10.0 hat trick)
Poland,Cameroon,2,1,Blaszcykowski
Norway,Argentina,1,1,Messi
Mexico,Russia,1,1,Salcedo/Somedov
Germany,Portland Timbers,1,0,Krous
Wales,Austria,1,2,Ilsanker
England,LA Galaxy,2,1,Kane
Uruguay,Sweden,2,0,Vecino
Côte d'Ivoire,Portugal,1,2,Silva
Czech Republic,Denmark,0,2,Jørgensen
Switzerland,France,2,1,Džemaili
Netherlands,Greece,0,0,Tete
Italy,Chile,3,1,Insgne
Brazil,Slovenia,1,0,Catarino
Turkey,Spain,0,2,Costa
United States,Colombia,0,4,Quintero
Belgium,Cameroon,,,
Scotland,Poland,,,
Russia,Argentina,,,
Mexico,Norway,,,
Germany,Wales,,,
Portland Timbers,Austria,,,
Sweden,England,,,
Uruguay,LA Galaxy,,,
Denmark,Portugal,,,
Côte d'Ivoire,Czech Republic,,,
France,Netherlands,,,
Switzerland,Greece,,,
Italy,Brazil,,,
Slovenia,Chile,,,
Colombia,Spain,,,
United States,Turkey,,,
Belgium,Poland,,,
Scotland,Cameroon,,,
Mexico,Argentina,,,
Russia,Norway,,,
Germany,Austria,,,
Portland Timbers,Wales,,,
Uruguay,England,,,
LA Galaxy,Sweden,,,
